web-scraper-order,web-scraper-start-url,tipe,tipe-href,BrandTipe,Brand,Top,Middle,Base,Domai,WayOver,Over,Oke,GoodValue,GreatValue
"1670246950-1","https://www.fragrantica.com/search/","Light Blue","https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-485.html","Light Blue Dolce&Gabbana for women","Dolce&Gabbana","Sicilian LemonAppleCedarBellflower","","CedarMuskAmber","citrus","152","544","1238","521","100"
"1670246981-2","https://www.fragrantica.com/search/","Versace Pour Homme Dylan Blue","https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-Dylan-Blue-40031.html","Versace Pour Homme Dylan Blue Versace for men","Versace","Calabrian bergamotWater NotesGrapefruitFig Leaf","","","amber","39","188","1052","1668","439"
"1670247011-3","https://www.fragrantica.com/search/","Layton","https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html","Layton Parfums de Marly for women and men","Parfums de Marly","AppleLavenderBergamotMandarin Orange","","VanillaCardamomSandalwoodPepperPatchouliGuaiac Wood","warm spicy","null","null","null","null","null"
"1670247042-4","https://www.fragrantica.com/search/","Jazz Club","https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html","Jazz Club Maison Martin Margiela for men","Maison Martin Margiela","Pink PepperNeroliLemon","RumJava vetiver oilClary Sage","Tobacco Leafvanilla beanStyrax","tobacco","68","461","1172","291","43"
"1670247072-5","https://www.fragrantica.com/search/","Encre Noire","https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html","Encre Noire Lalique for men","Lalique","Cypress","Vetiver","Cashmere WoodMusk","woody","48","54","377","940","2038"
"1670247103-6","https://www.fragrantica.com/search/","Terre d'Hermes","https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html","Terre d'Hermes Hermès for men","Hermès","OrangeGrapefruit","PepperPelargoniumFlint","VetiverCedarPatchouliBenzoin","citrus","122","467","1706","519","109"
"1670247134-7","https://www.fragrantica.com/search/","La Vie Est Belle","https://www.fragrantica.com/perfume/Lancome/La-Vie-Est-Belle-14982.html","La Vie Est Belle Lancôme for women","Lancôme","Black CurrantPear","irisJasmineOrange Blossom","PralineVanillaPatchouliTonka Bean","sweet","192","851","1789","485","133"
"1670247164-8","https://www.fragrantica.com/search/","Hypnotic Poison","https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-219.html","Hypnotic Poison Dior for women","Dior","CoconutPlumApricot","Brazilian RosewoodJasmineCarawayTuberoseRoseLily-of-the-Valley","","vanilla","158","560","1309","347","95"
"1670247195-9","https://www.fragrantica.com/search/","Y Eau de Parfum","https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html","Y Eau de Parfum Yves Saint Laurent for men","Yves Saint Laurent","AppleGingerBergamot","SageJuniper BerriesGeranium","AmberwoodTonka BeanCedarVetiverOlibanum","aromatic","138","671","1929","557","81"
"1670247225-10","https://www.fragrantica.com/search/","Spicebomb Extreme","https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html","Spicebomb Extreme Viktor&Rolf for men","Viktor&Rolf","VanillaTobaccoBlack PepperCarawayLavender","","","fresh spicy","75","428","1247","502","115"
